Population Density(sq mi)▼,Zip , Population
312,12528 ,"13,066"
310.4,10973 ,"2,646"
310.1,13020 ,145
307.1,12589 ,"18,005"
305.3,12561 ,"18,423"
300.3,10988 ,947
298.1,12759 ,"1,910"
297.3,12569 ,"9,990"
297.3,12751 ,"1,154"
296.9,14513 ,"14,001"
295.1,13323 ,"11,238"
289.9,13615 ,"1,114"
288.5,12512 ,129
287.6,11935 ,"3,263"
286.9,14063 ,"14,555"
286,13748 ,"3,907"
285.8,13692 ,78
285.2,14502 ,"10,698"
284.8,12033 ,"7,886"
284.4,13469 ,"1,163"
283.6,14519 ,"11,594"
283.5,11556 ,17
283.3,12477 ,"18,797"
283.3,14760 ,"18,208"
283.2,12549 ,"11,138"
282.8,13030 ,"3,792"
282.2,13784 ,132
280.7,13045 ,"30,009"
280,12547 ,"2,947"
279.9,13403 ,"7,579"
275.1,14052 ,"17,072"
272.2,14568 ,"6,465"
272,12124 ,718
271.1,10579 ,"9,264"
269.3,11765 ,745
267.3,13601 ,"38,348"
265.2,14856 ,100
261.7,12143 ,"5,104"
261.6,12148 ,"4,428"
261.3,14845 ,"20,961"
260.8,13078 ,"10,273"
259.9,12754 ,"6,952"
258.4,12831 ,"17,614"
258.1,12089 ,140
255.4,12515 ,"1,284"
254.6,14004 ,"12,284"
254.1,14456 ,"19,865"
253.2,12577 ,"1,526"
251.2,12151 ,684
251,12543 ,"3,035"
249.1,12872 ,76
246.9,14132 ,"6,933"
246.6,13313 ,555
245.4,12086 ,"1,503"
240,13732 ,"8,101"
238.9,13424 ,"2,663"
235.6,12779 ,"2,109"
235.2,10519 ,181
233.6,11770 ,102
232.4,14464 ,"7,272"
228.5,11937 ,"15,446"
228.1,13069 ,"25,297"
228,13164 ,"2,448"
225.6,12721 ,"5,743"
224.7,11978 ,"2,963"
224.2,11956 ,298
222.9,14814 ,"1,984"
222.4,12548 ,"1,352"
221.8,12540 ,"7,634"
221.2,13108 ,"6,460"
220.5,10932 ,33
220.3,14881 ,271
220.1,12498 ,"4,800"
219.7,14454 ,"11,124"
218.4,12174 ,251
217.9,14529 ,85
217,14830 ,"19,679"
216.8,12010 ,"28,926"
215.6,10916 ,"4,374"
215.5,14479 ,319
214.9,14130 ,234
214.8,12158 ,"6,775"
214.5,12078 ,"24,072"
213.5,10560 ,"4,742"
212.5,12069 ,147
212.4,11947 ,138
211.2,13135 ,"6,990"
211.1,13820 ,"22,746"
211,14424 ,"26,862"
210.9,11933 ,"6,358"
210.3,12460 ,434
209.9,14108 ,"5,686"
209.4,12161 ,87
209.4,12490 ,110
